year,abs_disp,rel_disp,pct_days_low_gt_high
2000,5.607364049602184,1.366298301528658,57.14285714285714
2001,3.2994469649353455,1.2036980079790272,50.140845070422536
2002,5.4171531834295354,1.350646333376891,58.52272727272727
2003,2.4946318719102027,1.1811149157150287,58.01282051282052
2004,3.2655336969653845,1.239470598260525,58.54430379746836
2005,4.563572351962829,1.3814290715183672,66.97247706422019
2006,5.438107981353259,1.453824598171069,75.14792899408283
2007,7.902023577818802,1.6551311856841626,74.27652733118971
2008,7.31602641826988,1.5902789650836644,73.96449704142012
2009,6.802218228309496,1.6415577194720377,78.63013698630137
2010,5.701029500989286,1.726188552302746,89.86301369863014
2011,3.023871137542459,1.3167702786208684,67.94520547945206
2012,1.0910456973175933,1.123893960768562,51.91256830601093
2013,3.513546416071506,1.3743303643517037,72.6027397260274
2014,3.614786903809902,1.4417691913905388,75.89041095890411
2015,2.998648143133825,1.3781071185820564,80.27397260273973
2016,2.4345575590885034,1.3003583800965088,69.94535519125684
2017,1.0003927901445682,1.1034621282121424,55.342465753424655
2018,1.3656268060187156,1.1232898548974006,55.06849315068493
2019,-0.23562840577136335,0.9720357973035542,38.9041095890411
2020,1.7255693546344784,1.1453480982843383,50.81967213114754
2021,3.982049676714322,1.4519051736242297,75.61643835616438
2022,1.8361393768998884,1.2289068156865754,70.41095890410959
2023,1.7457338216597815,1.2318644267513177,72.6027397260274
